time_ms,temp1_v,temp2_v,trigger
  9005,161,179,1
  9024,161,179,1
  9042,161,180,1
  9062,161,180,1
  9080,161,180,1
  9099,161,180,1
  9118,162,180,0
  9136,161,180,0
  9155,161,179,1
  9173,161,180,1
  9193,161,179,1
  9211,161,180,1
  9230,161,180,1
  9249,161,180,1
  9268,161,180,1
  9286,161,180,1
  9304,161,180,1
  9324,161,179,1
  9342,161,180,1
  9361,161,180,1
  9379,161,180,1
  9399,161,176,1
  9417,161,180,1
  9435,161,179,1
  9455,161,180,1
  9473,161,180,1
  9492,161,179,0
  9510,161,180,0
  9530,161,180,1
  9548,162,180,1
  9567,161,180,1
  9586,161,178,1
  9604,161,180,1
  9623,161,180,1
  9641,161,180,1
  9661,161,179,1
  9679,161,180,1
  9698,161,179,1
  9717,161,180,1
  9736,161,180,1
  9754,161,180,1
  9772,161,180,1
  9792,161,180,1
  9810,161,180,1
  9829,161,176,1
  9848,161,180,0
  9867,161,180,0
  9885,161,179,1
  9903,161,178,1
  9923,161,180,1
  9941,161,179,1
  9960,161,179,1
  9978,161,179,1
  9998,161,180,1
 10016,161,180,1
 10035,161,179,1
 10054,161,180,1
 10072,161,179,1
 10091,161,180,1
 10109,161,180,1
 10129,161,180,1
 10147,161,180,1
 10166,161,179,1
 10185,161,180,1
 10203,162,180,0
 10222,161,179,0
 10240,161,180,1
 10260,161,180,1
 10278,161,180,1
 10297,161,180,1
 10316,161,180,1
 10335,161,180,1
 10353,161,180,1
 10371,161,180,1
 10391,161,180,1
 10409,161,179,1
 10428,161,178,1
 10447,161,180,1
 10466,161,180,1
 10484,161,180,1
 10502,161,180,1
 10522,161,180,1
 10540,161,180,1
 10559,161,180,1
 10577,161,180,0
 10597,161,180,0
 10615,161,180,1
 10634,162,180,1
 10653,161,180,1
 10671,161,180,1
 10690,161,180,1
 10708,161,179,1
 10728,161,180,1
 10746,161,180,1
 10765,161,180,1
 10784,161,180,1
 10803,161,179,1
 10821,161,180,1
 10839,161,180,1
 10859,161,180,1
 10877,161,180,1
 10896,161,180,1
 10915,161,180,1
 10934,162,180,0
 10952,161,180,0
 10970,161,180,1
 10990,161,180,1
 11008,161,179,1
 11027,161,180,1
 11046,161,179,1
 11065,161,180,1
 11083,161,181,1
 11102,161,180,1
 11121,161,179,1
 11139,161,179,1
 11158,161,180,1
 11176,161,179,1
 11196,161,180,1
 11214,161,180,1
 11233,161,178,1
 11252,161,182,1
 11270,161,180,1
 11289,161,180,0
 11307,161,181,0
 11327,161,180,1
 11345,161,180,1
 11364,161,180,1
 11383,161,179,1
 11402,161,180,1
 11420,161,180,0
 11438,161,180,1
 11458,161,179,1
 11476,161,178,1
 11495,161,176,1
 11514,161,180,1
 11533,161,180,1
 11551,161,180,1
 11569,161,180,1
